11,,Crvena Reka,1,8:18,8:19,0:01,36.4,1
12,,Belanovac staj,1,8:24,8:25,0:01,40.0,1
13,,Bela Palanka,1,8:32,8:33,0:01,44.9,1
14,,Crkvica staj,1,8:41,8:42,0:01,48.5,1
15,,Čifluk ukr,1,8:52,8:53,0:01,53.5,1
16,,Sinjac staj,1,8:58,8:59,0:01,56.8,1
17,,Đurđevo Polje staj,1,9:04,9:05,0:01,58.8,1
18,,Crvenčevo staj,1,9:12,9:13,0:01,61.9,1
19,,Staničenje ukr,1,9:17,9:18,0:01,63.8,1
20,,Pirot,1,9:38,9:39,0:01,72.9,1
21,,Božurat staj,1,9:43,9:44,0:01,76.9,1
22,,Veliki Jovanovac staj,1,9:50,9:51,0:01,81.7,1
23,,Sukovo,1,9:56,9:57,0:01,86.2,1
24,,Činiglavci staj,1,10:02,10:03,0:01,90.5,1
25,,Srećkovac staj,1,10:06,10:07,0:01,92.7,1
26,DGRA,DIMITROVGRAD,1,10:12,Destination,,97.4,1
,,,,,,,,
,,,,,,,,
Train No,Train Name,Train Type,Runs From Source,,,,,
4,5900,Passanger,"NIŠ (South, East)",,,,,
,,,,,,,,
SNo,Stn Code,Stn Name,Route No.,Arrival Time,Dep. Time,Halt Time (In Minutes),0+km,Day
1,NI,NIŠ,1,Source,7:00,,0.0,1
2,,Paliluska rampa staj,1,7:05,7:06,0:01,1.5,1
3,,Ćele Kula,1,7:11,7:12,0:01,5.5,1
4,,Niška Banja,1,7:19,7:20,0:01,10.5,1
5,,Prosek staj,1,7:26,7:27,0:01,14.7,1
6,,Sićevo ukr,1,7:33,7:34,0:01,17.1,1
7,,Ostrovica,1,7:44,7:45,0:01,22.5,1
8,,Radov Dol staj,1,8:02,8:03,0:01,29.5,1
9,,Dolac ukr,1,8:08,8:09,0:01,31.7,1
10,,Crveni Breg staj,1,8:13,8:14,0:01,34.3,1
11,,Crvena Reka,1,8:18,8:19,0:01,36.4,1
12,,Belanovac staj,1,8:24,8:25,0:01,40.0,1
13,,Bela Palanka,1,8:32,8:33,0:01,44.9,1
14,,Crkvica staj,1,8:41,8:42,0:01,48.5,1
15,,Čifluk ukr,1,8:52,8:53,0:01,53.5,1
16,,Sinjac staj,1,8:58,8:59,0:01,56.8,1
17,,Đurđevo Polje staj,1,9:04,9:05,0:01,58.8,1
18,,Crvenčevo staj,1,9:12,9:13,0:01,61.9,1
19,,Staničenje ukr,1,9:17,9:18,0:01,63.8,1
20,,Pirot,1,9:38,9:39,0:01,72.9,1
21,,Božurat staj,1,9:43,9:44,0:01,76.9,1
22,,Veliki Jovanovac staj,1,9:50,9:51,0:01,81.7,1
23,,Sukovo,1,9:56,9:57,0:01,86.2,1
24,,Činiglavci staj,1,10:02,10:03,0:01,90.5,1
25,,Srećkovac staj,1,10:06,10:07,0:01,92.7,1
26,DGRA,DIMITROVGRAD,1,10:12,Destination,,97.4,1
